Company,EdiDocumentNumber,Status,TradingPartnerId,DEA,NameAlpha,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCodePostal,Country,DateTransactionJulian,DateInvoiceJulian,Total_MFG_Pieces,Orig_Inv_Ttl_Prod_Value,MFG_Ttl_Prod_Value,Orig_Inv_Processing_Fee,Orig_Inv_Total_Due,MFG_Total_Returnable_Due,MFG_Acct_Nr,Return_By_DEA,NameAlphaABName,AddressLine4,AddressLine5,AddressLine6,City99,Return_By_State,Return_By_Zip,Return_Country,Reference1,ProgramId,UserId,DateUpdated,TimeLastUpdated,WorkStationId,OriginalEdiDocumentNumber,CompanyNatureIndicator,Brand_Generic,NemoReference15,BusinessUnitOrigin,ReturnFlag,FutureUseAmount,ReturnDocumentType,PreProcessCompletionFlag,active,created,lastUpdatedBy,Key,DamagedGoods,JDE_ID_SOURCE,JDE_ID_RETURN_BY,Prefix,MCK_DC,McK_Program_Cust,Return_Type,JDE_PARENT_ID,PHS_Flag,Gov_Dod_Flag,Flex_Bunit_Num,Error_Desc,Total_Credit
01100,5296444.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,10.0,1.07,36.17,0.0,1.07,36.17,607609.0,BH9966904,CARE POINT PHARMACY INC,SUITE 0,,,ORMOND BEACH,FL,32174,BH9,RABF14171583407,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3918,,45621.0,,,,,INDIRECT,45702.0,,,,,0.9630000000000001
01100,5296443.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,10.0,9.53,33.44,0.0,9.53,33.44,607609.0,FB4745444,BENNETT'S PHARMACY,1201 DINAH SHORE BOULEVARD,,,WINCHESTER,TN,37398,FB4,RABF14171582971,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3917,,45621.0,,,,,INDIRECT,45702.0,,,,,8.577
01100,5296442.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,50.0,13.95,11.59,0.0,13.95,11.59,607609.0,FF5601302,FRANKLIN PHARMACY,PO BOX 1079,810 N MAIN ST,,FRANKLIN,KY,42134,FF5,RABF13171582771,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3916,,45621.0,,,,,INDIRECT,45702.0,,,,,12.555
01100,5296441.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,50.0,13.95,11.59,0.0,13.95,11.59,607609.0,AT1597422,TOMPKINSVILLE DRUG CO,200 NORTH CRAWFORD STREET,,,TOMPKINSVILLE,KY,42167,AT1,RABF13171582418,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3915,,45621.0,117129.0,,,,INDIRECT,45702.0,,,,,12.555
01100,5296440.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,80.0,481.55,510.55,0.0,481.55,510.55,607609.0,AT1597422,TOMPKINSVILLE DRUG CO,200 NORTH CRAWFORD STREET,,,TOMPKINSVILLE,KY,42167,AT1,RABF13171582266,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3914,,45621.0,117129.0,,,,INDIRECT,45702.0,,,,,433.395
01100,5296439.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,20.0,17.48,23.1,0.0,17.48,23.1,607609.0,BJ0864632,JUDEO CHRISTIAN HEALTH CLINIC,4118 N MACDILL AVE,,,TAMPA,FL,33607,BJ0,RABF13171582130,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3913,,45621.0,,,,,INDIRECT,45702.0,,,,,15.732
01100,5296438.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,30.0,214.65,178.89,0.0,214.65,178.89,607609.0,BA1685671,ABELS PHARMACY,635 GROVE STREET,,,IRVINGTON,NJ,07111,BA1,RABF13171581558,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3912,,45621.0,,,,,INDIRECT,45702.0,,,,,193.185
01100,5296437.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,50.0,13.95,11.59,0.0,13.95,11.59,607609.0,FF5601302,FRANKLIN PHARMACY,PO BOX 1079,810 N MAIN ST,,FRANKLIN,KY,42134,FF5,RABF12171580581,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3911,,45621.0,,,,,INDIRECT,45702.0,,,,,12.555
01100,5296436.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,80.0,28.65,133.1,0.0,28.65,133.1,607609.0,AT1597422,TOMPKINSVILLE DRUG CO,200 NORTH CRAWFORD STREET,,,TOMPKINSVILLE,KY,42167,AT1,RABF12171580409,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3910,,45621.0,117129.0,,,,INDIRECT,45702.0,,,,,25.784999999999997
01100,5296435.0,Inprogress,2149807825,RE0161733,AMERISOURCEBERGEN DRUG CORP,6810 SHADY OAK RD,,,EDEN PRAIRIE,MN,55344,USA,2017-04-22,2017-04-18T00:00:00,40.0,21.8,20.96,0.0,21.8,20.96,607609.0,BP9941926,PINEWOOD PHARMACY,3008 LITTLE YORK RD,,,HOUSTON,TX,77093,BP9,RABF12171580223,,,1899-12-31T00:00:00,1900-01-01T00:00:00,,,,,,,,,,,True,2025-06-08T04:44:56.637,2028,3909,,45621.0,,,,,INDIRECT,45702.0,,,,,19.62
